rarity,imageUrl,tcgplayerUrl,tcg_product_id
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/107709_200w.jpg,https://www.tcgplayer.com/product/107709/yugioh-dimension-of-chaos-majespecter-tornado,107709
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/103947_200w.jpg,https://www.tcgplayer.com/product/103947/yugioh-structure-deck-synchron-extreme-jet-warrior,103947
Shatterfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/99826_200w.jpg,https://www.tcgplayer.com/product/99826/yugioh-star-pack-arc-v-performapal-trampolynx-shatterfoil,99826
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/94040_200w.jpg,https://www.tcgplayer.com/product/94040/yugioh-legendary-collection-5ds-tg-cyber-magician,94040
Common,https://tcgplayer-cdn.tcgplayer.com/product/92554_200w.jpg,https://www.tcgplayer.com/product/92554/yugioh-2014-mega-tins-mega-pack-battlin-boxer-sparrer,92554
Shatterfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/92108_200w.jpg,https://www.tcgplayer.com/product/92108/yugioh-battle-pack-3-monster-league-night-beam-shatterfoil,92108
Common,https://tcgplayer-cdn.tcgplayer.com/product/71632_200w.jpg,https://www.tcgplayer.com/product/71632/yugioh-legendary-collection-4-joeys-world-amazoness-fighter,71632
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/78046_200w.jpg,https://www.tcgplayer.com/product/78046/yugioh-astral-pack-3-noble-arms-arfeudutyr,78046
Rare,https://tcgplayer-cdn.tcgplayer.com/product/77659_200w.jpg,https://www.tcgplayer.com/product/77659/yugioh-duelist-league-promo-generation-shift-purple,77659
Mosaic Rare,https://tcgplayer-cdn.tcgplayer.com/product/69594_200w.jpg,https://www.tcgplayer.com/product/69594/yugioh-battle-pack-2-war-of-the-giants-nightmares-steelcage-mosaic-rare,69594
Common,https://tcgplayer-cdn.tcgplayer.com/product/69219_200w.jpg,https://www.tcgplayer.com/product/69219/yugioh-battle-pack-2-war-of-the-giants-dandylion,69219
Common,https://tcgplayer-cdn.tcgplayer.com/product/68115_200w.jpg,https://www.tcgplayer.com/product/68115/yugioh-lord-of-the-tachyon-galaxy-battlin-boxer-sparrer,68115
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/77567_200w.jpg,https://www.tcgplayer.com/product/77567/yugioh-star-pack-2013-gandora-the-dragon-of-destruction-starfoil,77567
Common,https://tcgplayer-cdn.tcgplayer.com/product/67738_200w.jpg,https://www.tcgplayer.com/product/67738/yugioh-structure-deck-onslaught-of-the-fire-kings-flamvell-counter,67738
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81591_200w.jpg,https://www.tcgplayer.com/product/81591/yugioh-duel-terminal-7-ehren-lightsworn-monk,81591
Common,https://tcgplayer-cdn.tcgplayer.com/product/67010_200w.jpg,https://www.tcgplayer.com/product/67010/yugioh-legendary-collection-3-yugis-world-the-dark-creator,67010
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/66970_200w.jpg,https://www.tcgplayer.com/product/66970/yugioh-legendary-collection-3-yugis-world-machina-defender,66970
Rare,https://tcgplayer-cdn.tcgplayer.com/product/77593_200w.jpg,https://www.tcgplayer.com/product/77593/yugioh-duelist-league-promo-glorious-illusion-red,77593
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81483_200w.jpg,https://www.tcgplayer.com/product/81483/yugioh-duel-terminal-6-elemental-hero-neos-alius,81483
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/69804_200w.jpg,https://www.tcgplayer.com/product/69804/yugioh-battle-pack-epic-dawn-alector-sovereign-of-birds-starfoil,69804
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/69715_200w.jpg,https://www.tcgplayer.com/product/69715/yugioh-battle-pack-epic-dawn-snowman-eater-starfoil,69715
Rare,https://tcgplayer-cdn.tcgplayer.com/product/40086_200w.jpg,https://www.tcgplayer.com/product/40086/yugioh-extreme-victory-soundproofed,40086
Common,https://tcgplayer-cdn.tcgplayer.com/product/39378_200w.jpg,https://www.tcgplayer.com/product/39378/yugioh-structure-deck-dragunity-legion-legacy-of-yata-garasu,39378
Rare,https://tcgplayer-cdn.tcgplayer.com/product/254272_200w.jpg,https://www.tcgplayer.com/product/254272/yugioh-maximum-gold-el-dorado-superdreadnought-rail-cannon-juggernaut-liebe,254272
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/253916_200w.jpg,https://www.tcgplayer.com/product/253916/yugioh-maximum-gold-el-dorado-scrap-chimera,253916
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/252534_200w.jpg,https://www.tcgplayer.com/product/252534/yugioh-burst-of-destiny-rokket-caliber,252534
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235768_200w.jpg,https://www.tcgplayer.com/product/235768/yugioh-ghosts-from-the-past-resonator-call,235768
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/232929_200w.jpg,https://www.tcgplayer.com/product/232929/yugioh-ots-tournament-pack-15-proxy-f-magician,232929
Common,https://tcgplayer-cdn.tcgplayer.com/product/230282_200w.jpg,https://www.tcgplayer.com/product/230282/yugioh-legendary-duelists-season-2-blackwing-tamer-obsidian-hawk-joe,230282
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/230781_200w.jpg,https://www.tcgplayer.com/product/230781/yugioh-legendary-duelists-season-2-rage-with-eyes-of-blue-blue,230781
Common,https://tcgplayer-cdn.tcgplayer.com/product/228094_200w.jpg,https://www.tcgplayer.com/product/228094/yugioh-speed-duel-battle-city-box-hammer-shot,228094
Common,https://tcgplayer-cdn.tcgplayer.com/product/228072_200w.jpg,https://www.tcgplayer.com/product/228072/yugioh-speed-duel-battle-city-box-waboku,228072
Common,https://tcgplayer-cdn.tcgplayer.com/product/227997_200w.jpg,https://www.tcgplayer.com/product/227997/yugioh-speed-duel-battle-city-box-shrink,227997
Common,https://tcgplayer-cdn.tcgplayer.com/product/220932_200w.jpg,https://www.tcgplayer.com/product/220932/yugioh-2020-tin-of-lost-memories-infinitrack-tunneller,220932
Common,https://tcgplayer-cdn.tcgplayer.com/product/220891_200w.jpg,https://www.tcgplayer.com/product/220891/yugioh-2020-tin-of-lost-memories-hop-ear-squadron,220891
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/218889_200w.jpg,https://www.tcgplayer.com/product/218889/yugioh-rise-of-the-duelist-infernoble-knight-ogier,218889
Common,https://tcgplayer-cdn.tcgplayer.com/product/217457_200w.jpg,https://www.tcgplayer.com/product/217457/yugioh-legendary-duelists-season-1-relinquished,217457
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/216651_200w.jpg,https://www.tcgplayer.com/product/216651/yugioh-ots-tournament-pack-13-spyral-mission-rescue,216651
Common,https://tcgplayer-cdn.tcgplayer.com/product/216683_200w.jpg,https://www.tcgplayer.com/product/216683/yugioh-ots-tournament-pack-13-gravity-collapse,216683
Common,https://tcgplayer-cdn.tcgplayer.com/product/213950_200w.jpg,https://www.tcgplayer.com/product/213950/yugioh-speed-duel-decks-match-of-the-millennium-gaia-the-fierce-knight,213950
Common,https://tcgplayer-cdn.tcgplayer.com/product/209001_200w.jpg,https://www.tcgplayer.com/product/209001/yugioh-structure-deck-shaddoll-showdown-unending-nightmare,209001
Prismatic Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/197135_200w.jpg,https://www.tcgplayer.com/product/197135/yugioh-2019-gold-sarcophagus-tin-mega-pack-sekkas-light,197135
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/196810_200w.jpg,https://www.tcgplayer.com/product/196810/yugioh-structure-deck-rokket-revolt-absorouter-dragon,196810
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/193659_200w.jpg,https://www.tcgplayer.com/product/193659/yugioh-battles-of-legend-heros-revenge-will-of-the-salamangreat,193659
Common,https://tcgplayer-cdn.tcgplayer.com/product/188938_200w.jpg,https://www.tcgplayer.com/product/188938/yugioh-ots-tournament-pack-10-super-quantum-red-layer,188938
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/186925_200w.jpg,https://www.tcgplayer.com/product/186925/yugioh-duel-power-predaplant-spider-orchid,186925
Common,https://tcgplayer-cdn.tcgplayer.com/product/179263_200w.jpg,https://www.tcgplayer.com/product/179263/yugioh-structure-deck-zombie-horde-zombie-master,179263
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/178103_200w.jpg,https://www.tcgplayer.com/product/178103/yugioh-soul-fusion-herald-of-the-abyss,178103
Common,https://tcgplayer-cdn.tcgplayer.com/product/177310_200w.jpg,https://www.tcgplayer.com/product/177310/yugioh-legendary-duelists-white-dragon-abyss-black-winged-dragon,177310
Common,https://tcgplayer-cdn.tcgplayer.com/product/177293_200w.jpg,https://www.tcgplayer.com/product/177293/yugioh-legendary-duelists-white-dragon-abyss-the-melody-of-awakening-dragon,177293
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/174844_200w.jpg,https://www.tcgplayer.com/product/174844/yugioh-2018-mega-tins-mega-pack-altergeist-marionetter,174844
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/174845_200w.jpg,https://www.tcgplayer.com/product/174845/yugioh-2018-mega-tins-mega-pack-altergeist-meluseek,174845
Common,https://tcgplayer-cdn.tcgplayer.com/product/174423_200w.jpg,https://www.tcgplayer.com/product/174423/yugioh-ots-tournament-pack-8-divine-sword-phoenix-blade,174423
Common,https://tcgplayer-cdn.tcgplayer.com/product/173576_200w.jpg,https://www.tcgplayer.com/product/173576/yugioh-structure-deck-powercode-link-reborn-tengu,173576
Common,https://tcgplayer-cdn.tcgplayer.com/product/163995_200w.jpg,https://www.tcgplayer.com/product/163995/yugioh-star-pack-vrains-linkslayer,163995
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/161931_200w.jpg,https://www.tcgplayer.com/product/161931/yugioh-legendary-collection-kaiba-x-head-cannon,161931
Common,https://tcgplayer-cdn.tcgplayer.com/product/156007_200w.jpg,https://www.tcgplayer.com/product/156007/yugioh-structure-deck-wave-of-light-nova-summoner,156007
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/148293_200w.jpg,https://www.tcgplayer.com/product/148293/yugioh-circuit-break-altergeist-marionetter,148293
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/148295_200w.jpg,https://www.tcgplayer.com/product/148295/yugioh-circuit-break-altergeist-meluseek,148295
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/141668_200w.jpg,https://www.tcgplayer.com/product/141668/yugioh-2017-mega-tins-mega-pack-paleozoic-opabinia,141668
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/141724_200w.jpg,https://www.tcgplayer.com/product/141724/yugioh-2017-mega-tins-mega-pack-full-force-virus,141724
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/136852_200w.jpg,https://www.tcgplayer.com/product/136852/yugioh-battles-of-legend-lights-revenge-m-x-saber-invoker,136852
Common,https://tcgplayer-cdn.tcgplayer.com/product/131767_200w.jpg,https://www.tcgplayer.com/product/131767/yugioh-duelist-pack-dimensional-guardians-red-sprinter,131767
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/129991_200w.jpg,https://www.tcgplayer.com/product/129991/yugioh-ots-tournament-pack-4-retaliating-c,129991
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/129307_200w.jpg,https://www.tcgplayer.com/product/129307/yugioh-raging-tempest-baobaboon,129307
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/122945_200w.jpg,https://www.tcgplayer.com/product/122945/yugioh-duelist-pack-rivals-of-the-pharaoh-magnet-reverse,122945
Common,https://tcgplayer-cdn.tcgplayer.com/product/122408_200w.jpg,https://www.tcgplayer.com/product/122408/yugioh-2016-mega-tins-mega-pack-superheavy-samurai-soulhorns,122408
Rare,https://tcgplayer-cdn.tcgplayer.com/product/122426_200w.jpg,https://www.tcgplayer.com/product/122426/yugioh-2016-mega-tins-mega-pack-majespecter-unicorn-kirin,122426
Common,https://tcgplayer-cdn.tcgplayer.com/product/122409_200w.jpg,https://www.tcgplayer.com/product/122409/yugioh-2016-mega-tins-mega-pack-superheavy-samurai-soulclaw,122409
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/121109_200w.jpg,https://www.tcgplayer.com/product/121109/yugioh-ots-tournament-pack-2-armor-ninjitsu-art-of-freezing,121109
Common,https://tcgplayer-cdn.tcgplayer.com/product/107634_200w.jpg,https://www.tcgplayer.com/product/107634/yugioh-dimension-of-chaos-superheavy-samurai-thief,107634
Rare,https://tcgplayer-cdn.tcgplayer.com/product/105240_200w.jpg,https://www.tcgplayer.com/product/105240/yugioh-2015-mega-tins-mega-pack-satellarknight-skybridge,105240
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/105222_200w.jpg,https://www.tcgplayer.com/product/105222/yugioh-2015-mega-tins-mega-pack-bian-earth-of-the-yang-zing,105222
Common,https://tcgplayer-cdn.tcgplayer.com/product/99836_200w.jpg,https://www.tcgplayer.com/product/99836/yugioh-star-pack-arc-v-raidraptor-rise-falcon-common,99836
Common,https://tcgplayer-cdn.tcgplayer.com/product/99118_200w.jpg,https://www.tcgplayer.com/product/99118/yugioh-starter-deck-dark-legion-negate-attack,99118
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/95488_200w.jpg,https://www.tcgplayer.com/product/95488/yugioh-secrets-of-eternity-metaphys-horus-ultra-rare,95488
Rare,https://tcgplayer-cdn.tcgplayer.com/product/94059_200w.jpg,https://www.tcgplayer.com/product/94059/yugioh-legendary-collection-5ds-fire-ant-ascator,94059
Rare,https://tcgplayer-cdn.tcgplayer.com/product/94060_200w.jpg,https://www.tcgplayer.com/product/94060/yugioh-legendary-collection-5ds-supay,94060
Common,https://tcgplayer-cdn.tcgplayer.com/product/92724_200w.jpg,https://www.tcgplayer.com/product/92724/yugioh-2014-mega-tins-mega-pack-ghostrick-scare,92724
Common,https://tcgplayer-cdn.tcgplayer.com/product/92593_200w.jpg,https://www.tcgplayer.com/product/92593/yugioh-2014-mega-tins-mega-pack-summon-breaker,92593
Rare,https://tcgplayer-cdn.tcgplayer.com/product/92399_200w.jpg,https://www.tcgplayer.com/product/92399/yugioh-duelist-alliance-satellarknight-skybridge,92399
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/92352_200w.jpg,https://www.tcgplayer.com/product/92352/yugioh-duelist-alliance-bian-earth-of-the-yang-zing,92352
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/92351_200w.jpg,https://www.tcgplayer.com/product/92351/yugioh-duelist-alliance-suanni-fire-of-the-yang-zing,92351
Shatterfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/92086_200w.jpg,https://www.tcgplayer.com/product/92086/yugioh-battle-pack-3-monster-league-valhalla-hall-of-the-fallen-shatterfoil,92086
Common,https://tcgplayer-cdn.tcgplayer.com/product/79844_200w.jpg,https://www.tcgplayer.com/product/79844/yugioh-star-pack-2014-hammer-shark,79844
Common,https://tcgplayer-cdn.tcgplayer.com/product/79878_200w.jpg,https://www.tcgplayer.com/product/79878/yugioh-star-pack-2014-number-c39-utopia-ray,79878
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/79851_200w.jpg,https://www.tcgplayer.com/product/79851/yugioh-star-pack-2014-guldfaxe-of-the-nordic-beasts-starfoil,79851
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/79877_200w.jpg,https://www.tcgplayer.com/product/79877/yugioh-star-pack-2014-xyz-reflect-starfoil,79877
Common,https://tcgplayer-cdn.tcgplayer.com/product/79888_200w.jpg,https://www.tcgplayer.com/product/79888/yugioh-star-pack-2014-photon-papilloperative,79888
Rare,https://tcgplayer-cdn.tcgplayer.com/product/80604_200w.jpg,https://www.tcgplayer.com/product/80604/yugioh-duelist-league-promo-delta-crow-anti-reverse-red,80604
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/72455_200w.jpg,https://www.tcgplayer.com/product/72455/yugioh-shadow-specters-battlin-boxing-spirits,72455
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/77452_200w.jpg,https://www.tcgplayer.com/product/77452/yugioh-shadow-specters-tuning,77452
Common,https://tcgplayer-cdn.tcgplayer.com/product/78059_200w.jpg,https://www.tcgplayer.com/product/78059/yugioh-astral-pack-3-deck-lockdown,78059
Rare,https://tcgplayer-cdn.tcgplayer.com/product/77658_200w.jpg,https://www.tcgplayer.com/product/77658/yugioh-duelist-league-promo-generation-shift-green,77658
